Timestamp,Event_Type,Key_Button,X,Y,Action
1770558084.855805,Mouse,Move,1194,555,Move
1770558084.8567557,Mouse,Move,1194,555,Move
1770558084.857737,Mouse,Move,1195,555,Move
1770558084.858716,Mouse,Move,1195,555,Move
1770558084.8597426,Mouse,Move,1196,555,Move
1770558084.8607419,Mouse,Move,1196,554,Move
1770558084.8627632,Mouse,Move,1197,554,Move
1770558084.8637383,Mouse,Move,1198,554,Move
1770558084.8647254,Mouse,Move,1198,554,Move
1770558084.8657355,Mouse,Move,1199,554,Move
1770558084.8667269,Mouse,Move,1199,554,Move
1770558084.86774,Mouse,Move,1200,554,Move
1770558084.8697455,Mouse,Move,1201,554,Move
1770558084.8717558,Mouse,Move,1202,554,Move
1770558084.872753,Mouse,Move,1202,554,Move
1770558084.8737519,Mouse,Move,1203,554,Move
1770558084.874759,Mouse,Move,1203,554,Move
1770558084.8757777,Mouse,Move,1204,554,Move
1770558084.8767943,Mouse,Move,1204,554,Move
1770558084.8777394,Mouse,Move,1205,554,Move
1770558084.8787303,Mouse,Move,1206,554,Move
1770558084.8797302,Mouse,Move,1206,554,Move
1770558084.8807309,Mouse,Move,1207,554,Move
1770558084.8817763,Mouse,Move,1207,554,Move
1770558084.8826997,Mouse,Move,1208,554,Move
1770558084.883715,Mouse,Move,1208,554,Move
1770558084.8847125,Mouse,Move,1209,554,Move
1770558084.8857267,Mouse,Move,1210,554,Move
1770558084.886723,Mouse,Move,1210,554,Move
1770558084.8877163,Mouse,Move,1211,554,Move
1770558084.8887327,Mouse,Move,1211,555,Move
1770558084.8897676,Mouse,Move,1212,555,Move
1770558084.8907034,Mouse,Move,1212,555,Move
1770558084.8917167,Mouse,Move,1213,555,Move
1770558084.8927503,Mouse,Move,1214,556,Move
1770558084.8937073,Mouse,Move,1214,556,Move
1770558084.894703,Mouse,Move,1215,556,Move
1770558084.8957112,Mouse,Move,1216,557,Move
1770558084.896713,Mouse,Move,1216,558,Move
1770558084.897734,Mouse,Move,1217,558,Move
1770558084.8987143,Mouse,Move,1218,558,Move
1770558084.8997416,Mouse,Move,1218,558,Move
1770558084.9007227,Mouse,Move,1219,559,Move
1770558084.9017336,Mouse,Move,1220,559,Move
1770558084.9027011,Mouse,Move,1221,559,Move
1770558084.903771,Mouse,Move,1221,560,Move
1770558084.9047143,Mouse,Move,1222,561,Move
1770558084.9057438,Mouse,Move,1222,561,Move
1770558084.9067316,Mouse,Move,1224,562,Move
1770558084.9077346,Mouse,Move,1224,562,Move
1770558084.9087927,Mouse,Move,1225,563,Move
1770558084.9097588,Mouse,Move,1225,564,Move
1770558084.9107275,Mouse,Move,1226,564,Move
1770558084.9117362,Mouse,Move,1227,564,Move
1770558084.912729,Mouse,Move,1227,565,Move
1770558084.9137182,Mouse,Move,1228,565,Move
1770558084.914721,Mouse,Move,1229,566,Move
1770558084.9157417,Mouse,Move,1230,567,Move
1770558084.9167202,Mouse,Move,1230,567,Move
1770558084.9177659,Mouse,Move,1231,567,Move
1770558084.9187102,Mouse,Move,1231,568,Move
1770558084.9197328,Mouse,Move,1233,568,Move
1770558084.9207356,Mouse,Move,1233,569,Move
1770558084.9217951,Mouse,Move,1234,569,Move
1770558084.9227202,Mouse,Move,1234,570,Move
1770558084.923765,Mouse,Move,1235,570,Move
1770558084.9247155,Mouse,Move,1235,571,Move
1770558084.9257324,Mouse,Move,1235,571,Move
1770558084.9267385,Mouse,Move,1237,572,Move
1770558084.9277227,Mouse,Move,1237,572,Move
1770558084.9287298,Mouse,Move,1237,573,Move
1770558084.929708,Mouse,Move,1238,573,Move
1770558084.9307218,Mouse,Move,1238,574,Move
1770558084.9317405,Mouse,Move,1238,574,Move
1770558084.93273,Mouse,Move,1239,575,Move
1770558084.9337316,Mouse,Move,1239,575,Move
1770558084.9357262,Mouse,Move,1240,577,Move
1770558084.9367247,Mouse,Move,1241,577,Move
1770558084.9377105,Mouse,Move,1241,578,Move
1770558084.9387097,Mouse,Move,1242,578,Move
1770558084.939743,Mouse,Move,1243,578,Move
1770558084.9407523,Mouse,Move,1243,579,Move
1770558084.9417367,Mouse,Move,1243,579,Move
1770558084.9427323,Mouse,Move,1243,580,Move
1770558084.9437149,Mouse,Move,1243,581,Move
1770558084.9449487,Mouse,Move,1243,581,Move
1770558084.9457145,Mouse,Move,1244,582,Move
1770558084.946792,Mouse,Move,1244,582,Move
1770558084.9477813,Mouse,Move,1248,586,Move
1770558084.9487097,Mouse,Move,1248,586,Move
1770558085.1587622,Mouse,Move,1249,586,Move
1770558085.1597261,Mouse,Move,1250,586,Move
1770558085.1607442,Mouse,Move,1251,585,Move
1770558085.161737,Mouse,Move,1252,585,Move
1770558085.162732,Mouse,Move,1252,584,Move
1770558085.1637168,Mouse,Move,1255,583,Move
1770558085.164723,Mouse,Move,1255,582,Move
1770558085.1657186,Mouse,Move,1255,582,Move
1770558085.1667218,Mouse,Move,1258,582,Move
1770558085.1677215,Mouse,Move,1258,580,Move
1770558085.168709,Mouse,Move,1258,579,Move
1770558085.1697252,Mouse,Move,1258,578,Move
1770558085.170728,Mouse,Move,1259,577,Move
1770558085.171732,Mouse,Move,1260,577,Move
1770558085.1727352,Mouse,Move,1261,575,Move
1770558085.1737273,Mouse,Move,1262,575,Move
1770558085.1747305,Mouse,Move,1262,573,Move
1770558085.1757238,Mouse,Move,1263,573,Move
1770558085.1767259,Mouse,Move,1263,572,Move
1770558085.1776972,Mouse,Move,1264,571,Move
1770558085.178786,Mouse,Move,1265,569,Move
1770558085.179783,Mouse,Move,1265,568,Move
1770558085.180769,Mouse,Move,1266,567,Move
1770558085.1817722,Mouse,Move,1267,566,Move
1770558085.1827767,Mouse,Move,1267,566,Move
1770558085.18373,Mouse,Move,1267,564,Move
1770558085.184777,Mouse,Move,1268,563,Move
1770558085.185799,Mouse,Move,1269,562,Move
1770558085.1867502,Mouse,Move,1269,561,Move
1770558085.18773,Mouse,Move,1270,560,Move
1770558085.188726,Mouse,Move,1270,559,Move
1770558085.1897216,Mouse,Move,1270,557,Move
1770558085.1907358,Mouse,Move,1270,557,Move
1770558085.191738,Mouse,Move,1271,555,Move
1770558085.1927485,Mouse,Move,1272,554,Move
1770558085.1937482,Mouse,Move,1272,553,Move
1770558085.194731,Mouse,Move,1272,551,Move
1770558085.1957278,Mouse,Move,1273,550,Move
1770558085.1967373,Mouse,Move,1273,549,Move
1770558085.197738,Mouse,Move,1273,547,Move
1770558085.1987429,Mouse,Move,1274,546,Move
1770558085.1997235,Mouse,Move,1274,545,Move
1770558085.2007406,Mouse,Move,1274,543,Move
1770558085.2017477,Mouse,Move,1274,542,Move
1770558085.2027252,Mouse,Move,1274,542,Move
1770558085.2037222,Mouse,Move,1275,541,Move
1770558085.204721,Mouse,Move,1276,540,Move
1770558085.2067244,Mouse,Move,1276,540,Move
1770558085.2077239,Mouse,Move,1276,539,Move
1770558085.2087283,Mouse,Move,1276,539,Move
1770558085.2097237,Mouse,Move,1276,538,Move
1770558085.2107303,Mouse,Move,1276,538,Move
1770558085.2127419,Mouse,Move,1276,537,Move
1770558085.213721,Mouse,Move,1276,536,Move
1770558085.2147343,Mouse,Move,1276,536,Move
1770558085.2157612,Mouse,Move,1276,535,Move
1770558085.2177546,Mouse,Move,1276,535,Move
1770558085.2198055,Mouse,Move,1276,534,Move
1770558085.2217848,Mouse,Move,1275,534,Move
1770558085.2227557,Mouse,Move,1275,533,Move
1770558085.2237673,Mouse,Move,1275,532,Move
1770558085.2257552,Mouse,Move,1274,532,Move
1770558085.2267287,Mouse,Move,1274,532,Move
1770558085.2277598,Mouse,Move,1273,531,Move
1770558085.2287378,Mouse,Move,1273,531,Move
1770558085.2297394,Mouse,Move,1272,531,Move
1770558085.2317338,Mouse,Move,1272,531,Move
1770558085.232737,Mouse,Move,1271,530,Move
1770558085.23378,Mouse,Move,1270,530,Move
1770558085.2347288,Mouse,Move,1270,530,Move
1770558085.2357173,Mouse,Move,1269,529,Move
1770558085.2367358,Mouse,Move,1269,529,Move
1770558085.237752,Mouse,Move,1268,528,Move
1770558085.238746,Mouse,Move,1267,528,Move
1770558085.2407522,Mouse,Move,1265,527,Move
1770558085.2417488,Mouse,Move,1265,527,Move
1770558085.2426984,Mouse,Move,1264,527,Move
1770558085.243697,Mouse,Move,1263,525,Move
1770558085.2447112,Mouse,Move,1262,525,Move
1770558085.245718,Mouse,Move,1261,525,Move
1770558085.2467253,Mouse,Move,1261,524,Move
1770558085.247705,Mouse,Move,1259,523,Move
1770558085.2487252,Mouse,Move,1259,522,Move
1770558085.2497334,Mouse,Move,1257,521,Move
1770558085.2507315,Mouse,Move,1257,521,Move
1770558085.2517242,Mouse,Move,1256,521,Move
1770558085.2527301,Mouse,Move,1255,520,Move
1770558085.25372,Mouse,Move,1254,519,Move
1770558085.2547514,Mouse,Move,1253,518,Move
1770558085.2558112,Mouse,Move,1252,518,Move
1770558085.2567286,Mouse,Move,1251,516,Move
1770558085.2577336,Mouse,Move,1249,516,Move
1770558085.2587173,Mouse,Move,1248,515,Move
1770558085.2597518,Mouse,Move,1247,514,Move
1770558085.26074,Mouse,Move,1246,512,Move
1770558085.2617564,Mouse,Move,1245,511,Move
1770558085.2627518,Mouse,Move,1244,510,Move
1770558085.2637496,Mouse,Move,1242,509,Move
1770558085.264754,Mouse,Move,1241,508,Move
1770558085.2657433,Mouse,Move,1240,506,Move
1770558085.2667637,Mouse,Move,1239,505,Move
1770558085.2677436,Mouse,Move,1237,504,Move
1770558085.2687173,Mouse,Move,1236,503,Move
1770558085.2697153,Mouse,Move,1235,501,Move
1770558085.2707193,Mouse,Move,1233,500,Move
1770558085.2717488,Mouse,Move,1232,499,Move
1770558085.2727234,Mouse,Move,1230,497,Move
1770558085.2744632,Mouse,Move,1229,496,Move
1770558085.2747326,Mouse,Move,1227,495,Move
1770558085.275741,Mouse,Move,1226,493,Move
1770558085.2767327,Mouse,Move,1225,492,Move
1770558085.2777467,Mouse,Move,1222,490,Move
1770558085.2787752,Mouse,Move,1221,489,Move
1770558085.2797153,Mouse,Move,1219,488,Move
1770558085.2807705,Mouse,Move,1216,487,Move
1770558085.2817323,Mouse,Move,1214,485,Move
1770558085.2827346,Mouse,Move,1212,484,Move
1770558085.283853,Mouse,Move,1210,483,Move
1770558085.284802,Mouse,Move,1208,481,Move
1770558085.2857456,Mouse,Move,1206,479,Move
1770558085.2867348,Mouse,Move,1204,478,Move
1770558085.287767,Mouse,Move,1202,477,Move
1770558085.2887366,Mouse,Move,1199,475,Move
