Timestamp,Frame_ID,Gaze_X,Gaze_Y,Head_Yaw,Head_Pitch,Head_Roll,Active_Window,Left_Hand_Vis,Right_Hand_Vis,L_Wrist_X,L_Wrist_Y,R_Wrist_X,R_Wrist_Y
1770558073.676785,349,0.5412644743919373,0.6773102879524231,-15.34855469905595,-1.9744419156318553,5.95559087615706,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.713699,350,0.544092059135437,0.6764386892318726,-16.629738836922346,-1.8878307195537603,5.670128065997887,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.7506223,351,0.5462414026260376,0.6760640740394592,-26.740307304824338,13.412654285398666,179.52189924992595,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.7929559,352,0.5455552339553833,0.6763219237327576,-17.437661190539487,-1.2488160276298486,5.62490978471111,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.8296747,353,0.5454169511795044,0.6824166774749756,-17.267611129507877,-0.7732060949771471,5.999402709209155,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.8728223,354,0.5454668998718262,0.690351128578186,-25.701685381886087,15.120388847453489,179.85628688058534,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.91295,355,0.5450860261917114,0.6918108463287354,-26.6095278134686,15.489844349335687,179.87052821370267,Command Prompt - python  data_collector.py,0,0,0,0,0,0
1770558073.9512396,356,0.5430243611335754,0.7013142704963684,-26.433409479411377,16.987641473501395,179.93985963836738,Command Prompt - python  data_collector.py,0,1,0,0,0.1861550509929657,1.0178778171539307
1770558074.008321,357,0.5399268865585327,0.7122541069984436,-26.119883572135723,17.68226268938189,179.66814403911746,Command Prompt - python  data_collector.py,0,1,0,0,0.1819303035736084,0.9759237766265869
1770558074.0662131,358,0.536960244178772,0.7193828821182251,-25.82826316532595,18.62849007488717,178.62744746034676,Command Prompt - python  data_collector.py,0,1,0,0,0.17670975625514984,0.9054729342460632
1770558074.1136096,359,0.526203453540802,0.7187742590904236,-19.723673773609043,18.992765138227323,178.82140915535356,Command Prompt - python  data_collector.py,0,1,0,0,0.18134701251983643,0.7924977540969849
1770558074.1784606,360,0.5223085880279541,0.7171507477760315,-21.483810131682883,19.68557592569257,178.76036556549946,Command Prompt - python  data_collector.py,0,1,0,0,0.19157782196998596,0.7277263402938843
1770558074.2303312,361,0.5213620066642761,0.7150987982749939,-22.380209709176576,18.46362888757555,178.1120989244601,Command Prompt - python  data_collector.py,0,1,0,0,0.1958913803100586,0.6931195855140686
1770558074.2797976,362,0.520686149597168,0.7150547504425049,-22.570637920643094,19.26645444866694,177.94788915378678,Command Prompt - python  data_collector.py,0,1,0,0,0.19897708296775818,0.6793321967124939
1770558074.3364725,363,0.5215054750442505,0.714516282081604,-23.107530164028024,19.167536404180662,177.16039431137727,Command Prompt - python  data_collector.py,0,1,0,0,0.19933044910430908,0.6661518812179565
1770558074.3871493,364,0.5207573771476746,0.7132041454315186,-22.907285038419108,19.23674486735636,176.82873245397678,Command Prompt - python  data_collector.py,0,1,0,0,0.1981694996356964,0.667568027973175
1770558074.43879,365,0.5171876549720764,0.7129917144775391,-21.86088675099539,19.279053844513466,176.87774293723976,Command Prompt - python  data_collector.py,0,1,0,0,0.1974409520626068,0.6445882320404053
1770558074.49354,366,0.5154904127120972,0.712794303894043,-21.026644517965725,19.504561532710216,176.96847884587686,Command Prompt - python  data_collector.py,0,1,0,0,0.19678184390068054,0.6478427052497864
1770558074.5456417,367,0.5149441361427307,0.7122704386711121,-21.539157373794822,19.111625308082136,176.89660020933874,Command Prompt - python  data_collector.py,0,1,0,0,0.19385740160942078,0.6482303142547607
1770558074.5956244,368,0.5157443284988403,0.7109714150428772,-22.938309474821178,19.420686225593364,176.39461028979585,Command Prompt - python  data_collector.py,0,1,0,0,0.19286292791366577,0.6472188234329224
1770558074.6452389,369,0.5159161686897278,0.708770215511322,-22.75540846726147,18.37405846326354,177.26232890672557,Command Prompt - python  data_collector.py,0,1,0,0,0.1929621547460556,0.6479398608207703
1770558074.6949737,370,0.516900360584259,0.7071449756622314,-23.098862261721077,17.43629632732649,177.00610645021573,Command Prompt - python  data_collector.py,0,1,0,0,0.1978953331708908,0.6507599353790283
1770558074.750591,371,0.5170071721076965,0.7055130004882812,-23.305209105395335,17.21586091971404,176.9672090153204,Command Prompt - python  data_collector.py,0,1,0,0,0.20539769530296326,0.6496947407722473
1770558074.797861,372,0.5151938199996948,0.7037893533706665,-23.01997652230903,17.134355503653627,177.28934268766278,Command Prompt - python  data_collector.py,0,1,0,0,0.21705636382102966,0.649341881275177
1770558074.859173,373,0.5154447555541992,0.703302264213562,-23.29094057145122,17.357591307900815,177.60768602628468,Command Prompt - python  data_collector.py,0,1,0,0,0.23504385352134705,0.6469250321388245
1770558074.910494,374,0.5200806856155396,0.7022928595542908,-18.83320446217225,3.06663446215459,1.4878738597250365,Command Prompt - python  data_collector.py,0,1,0,0,0.2880420982837677,0.6472617983818054
1770558074.963889,375,0.5189720988273621,0.7011401057243347,-18.358670322716463,2.720403482135136,1.554947074839461,Command Prompt - python  data_collector.py,0,1,0,0,0.3060868978500366,0.6477816700935364
1770558075.019066,376,0.5189343094825745,0.6976694464683533,-17.945284520981488,1.5505678841833619,2.123683497182262,Command Prompt - python  data_collector.py,0,1,0,0,0.3143562972545624,0.6442359685897827
1770558075.0740004,377,0.5192803740501404,0.6982336044311523,-18.664179019114947,1.6117142134611575,2.165097069903439,Command Prompt - python  data_collector.py,0,1,0,0,0.3217175304889679,0.6439414024353027
1770558075.1307542,378,0.5192421674728394,0.6984317898750305,-19.865757576613102,1.408240944297307,3.107386060974626,Command Prompt - python  data_collector.py,0,1,0,0,0.3229767680168152,0.6418818831443787
1770558075.1858108,379,0.5192779302597046,0.6987064480781555,-19.653293946352225,1.4348334917577066,2.9328132563513556,Command Prompt - python  data_collector.py,0,1,0,0,0.3234933912754059,0.6423963308334351
1770558075.2400098,380,0.5211981534957886,0.6985492706298828,-18.122926895601278,1.565253898504393,2.8622706461554683,Command Prompt - python  data_collector.py,0,1,0,0,0.3179454505443573,0.6405361890792847
1770558075.291931,381,0.5226381421089172,0.6986782550811768,-19.60448479750232,1.1319142286215367,3.3655024863540346,Command Prompt - python  data_collector.py,0,1,0,0,0.3166999816894531,0.6395516395568848
1770558075.3434608,382,0.5236738324165344,0.6987800598144531,-19.062177120707585,0.2727165664228875,3.5854188045920576,Command Prompt - python  data_collector.py,0,1,0,0,0.3134620487689972,0.6403214931488037
1770558075.3957102,383,0.5257031321525574,0.6990302205085754,-18.390594008543864,0.846308439617203,2.967473798569329,Command Prompt - python  data_collector.py,0,1,0,0,0.31256937980651855,0.639795184135437
1770558075.4468026,384,0.5252243280410767,0.6991165280342102,-18.19434329682807,1.857394440791054,2.6468021179745302,Command Prompt - python  data_collector.py,0,1,0,0,0.30906790494918823,0.6387619972229004
1770558075.503936,385,0.5254707932472229,0.6985790729522705,-18.72422880291766,1.4600605117527912,3.1724853834626376,Command Prompt - python  data_collector.py,0,1,0,0,0.3120652139186859,0.6403281688690186
1770558075.5566545,386,0.5261041522026062,0.6992425918579102,-18.62547867424485,1.966057332449893,3.2567771296066064,Command Prompt - python  data_collector.py,1,1,0.8578406572341919,0.6936625242233276,0.3161943554878235,0.6429517269134521
1770558075.6232467,387,0.529676079750061,0.6987068057060242,-25.083640222811578,18.29167384033763,177.8609754477149,Command Prompt - python  data_collector.py,1,1,0.8202263116836548,0.7140539884567261,0.31860780715942383,0.641110897064209
1770558075.6674058,388,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7887130379676819,0.7396289110183716,0.31734582781791687,0.6443533897399902
1770558075.7103965,389,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7340434789657593,0.7678552865982056,0.3105297386646271,0.6519954204559326
1770558075.746304,390,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7180936336517334,0.7649813294410706,0.30543237924575806,0.6541464924812317
1770558075.7988176,391,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7100091576576233,0.7627480030059814,0.30090075731277466,0.6578348278999329
1770558075.8346026,392,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7032279372215271,0.7628368139266968,0.2973530888557434,0.6578567028045654
1770558075.8795753,393,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7003808617591858,0.7631452083587646,0.29384663701057434,0.6605921387672424
1770558075.9256485,394,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7023814916610718,0.7639622688293457,0.29489296674728394,0.660344660282135
1770558075.9739118,395,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6980630159378052,0.7634942531585693,0.2917460799217224,0.660068154335022
1770558076.026797,396,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6971662044525146,0.7631021738052368,0.28962835669517517,0.6622768044471741
1770558076.0694234,397,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6967707276344299,0.7634892463684082,0.28794121742248535,0.6641230583190918
1770558076.1039827,398,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6974794268608093,0.7639120817184448,0.28410911560058594,0.6693254113197327
1770558076.1404924,399,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6970329880714417,0.7642759680747986,0.28509652614593506,0.6689331531524658
1770558076.180575,400,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6985070705413818,0.7657061219215393,0.2835520803928375,0.6684392094612122
1770558076.2207124,401,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6979537606239319,0.7661435604095459,0.2828606963157654,0.6687008142471313
1770558076.2580676,402,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.6981712579727173,0.7639667987823486,0.28064852952957153,0.6712258458137512
1770558076.294594,403,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.699794590473175,0.7655166983604431,0.2807740271091461,0.6710181832313538
1770558076.3339622,404,0.5795086622238159,0.6009912490844727,35.809011405067245,-28.82067594763729,-13.987616886116319,Command Prompt - python  data_collector.py,1,1,0.6990530490875244,0.7663625478744507,0.28034818172454834,0.6708855628967285
1770558076.3858268,405,0.5865532159805298,0.6011735200881958,39.04679074098736,-30.527404884499713,-12.470804322004298,Command Prompt - python  data_collector.py,1,1,0.7010453939437866,0.7656827569007874,0.278455913066864,0.671118974685669
1770558076.4319706,406,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7006672024726868,0.7673964500427246,0.2797691524028778,0.6728910207748413
1770558076.4803784,407,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7034868001937866,0.7669652700424194,0.2770967483520508,0.6738191843032837
1770558076.5192504,408,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7033869028091431,0.768936038017273,0.2774285078048706,0.6731843948364258
1770558076.5614052,409,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7080959677696228,0.7690548896789551,0.27825847268104553,0.6732801198959351
1770558076.6021755,410,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7119229435920715,0.7700082063674927,0.2741585969924927,0.6747327446937561
1770558076.639328,411,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7209682464599609,0.7687935829162598,0.2713589668273926,0.6725269556045532
1770558076.681962,412,0,0,0,0,0,Command Prompt - python  data_collector.py,1,1,0.7912925481796265,0.7738374471664429,0.2294851541519165,0.6742364168167114
1770558076.730158,413,0.5498639345169067,0.682413637638092,-27.70968631785547,14.791858161111648,179.24191682918254,Command Prompt - python  data_collector.py,1,1,0.845402717590332,0.7684347629547119,0.2020300328731537,0.6730350255966187
1770558076.7798932,414,0.5477696657180786,0.6812112331390381,-29.11768731958289,14.169694577403245,179.7458936582212,Command Prompt - python  data_collector.py,1,1,0.8916391134262085,0.7654252052307129,0.17281606793403625,0.6747317314147949
1770558076.8300042,415,0.5437609553337097,0.6811830997467041,-27.968189802138657,14.762775279966599,179.5077180881599,Command Prompt - python  data_collector.py,1,1,0.933681309223175,0.7669939398765564,0.13495293259620667,0.670205295085907
